appID,name,free_to_play,price,required_age,developers,publishers,genres,release_date
438490,GOD EATER 2 Rage Burst,False,49.99,0,BANDAI NAMCO Studio-SHIFT-QLOC,BANDAI NAMCO Entertainment,Action-RPG,"29 Aug, 2016"
438560,Mystery Case Files®: Escape from Ravenhearst™,False,9.99,0,Big Fish Studios, Big Fish Games,Adventure-Casual,"3 Feb, 2016"
438600,Soccer Manager,True,0.0,0,Soccer Manager Ltd,Soccer Manager Ltd,Free to Play-Indie-Massively Multiplayer-Simulation-Sports-Strategy,"9 Feb, 2016"
438640,LEGO® STAR WARS™: The Force Awakens,False,29.99,0,Traveller's Tales-TT Games-Feral Interactive (Mac),Warner Bros. Interactive Entertainment-Feral Interactive (Mac),Action-Adventure,"27 Jun, 2016"
438650,Gravity Compass,False,2.99,0,NovaWake Studios,NovaWake Studios,Casual,"10 May, 2016"
438660,Jerry Rice & Nitus' Dog Football,False,3.99,0,JUDOBABY INC.,JUDOBABY INC.,Sports,"11 Feb, 2016"
438680,One Troll Army,True,0.0,0,FlyAnvil,tinyBuild,Casual-Indie-Strategy,"19 May, 2016"
438720,Heroes of Shadow Guard,True,0.0,0,Iron 27,Iron 27,Free to Play-Indie-Massively Multiplayer-RPG,"3 Aug, 2016"
438730,Poly Towns,False,4.0,0,Red Phoenix Studios,Red Phoenix Studios,Casual-Indie-Strategy,"22 Apr, 2016"
438740,Friday the 13th: The Game,False,16.79,0,IllFonic,Gun Media,Action,"25 May, 2017"
438770,Street Posse Showdown,False,19.99,0,LS Ensemble,LS Ensemble,Indie-RPG-Strategy-Early Access,"21 Nov, 2016"
438780,Terrarium Land,False,9.99,0,Layer games,Layer games,Action-Adventure-Indie,"29 Mar, 2016"
438790,Random Access Murder,False,0.79,0,Team Murder,Team Murder,Action-Indie,"5 Aug, 2016"
438820,Hyper Box,False,2.99,0,Pixelated Cupcake,Pixelated Cupcake,Indie,"16 Mar, 2016"
438910,"Hack, Slash & Backstab",False,4.99,0,MAGIC Spell Studios,MAGIC Spell Studios,Action-Adventure-Casual-Indie,"31 Aug, 2016"
438920,Legends of Callasia,True,0.0,0,Boomzap Entertainment,Boomzap Entertainment,Strategy,"10 Jun, 2016"
438940,XBlaze Lost: Memories,False,19.99,0,Arc System Works,Aksys Games,Adventure,"10 Aug, 2016"
439190,Stories: The Path of Destinies,False,14.99,0,Spearhead Games,Spearhead Games,Action-Adventure-Indie-RPG,"12 Apr, 2016"
439250,Space Pilgrim Episode III: Delta Pavonis,False,0.9,0,Pilgrim Adventures-GrabTheGames Studios,GrabTheGames,Adventure-Indie,"4 Feb, 2016"
439260,"""BUTTS: The VR Experience""",False,0.99,0,Tyler Hurd,Tyler Hurd,Casual,"3 Feb, 2016"
439310,Until I Have You,False,13.99,0,Wormwood Studios,Digital Tribe,Indie,"4 Apr, 2016"
439340,Tavern Tycoon - Dragon's Hangover,False,10.79,0,Terapoly,Terapoly,Indie-Simulation-Strategy,"11 Mar, 2019"
439350,Kritika Online,False,0.0,0,ALLM,En Masse Entertainment,Action-Free to Play-Massively Multiplayer-RPG,"28 Sep, 2017"
439370,Midair,True,0.0,0,Archetype Studios,Archetype Studios,Action-Free to Play-Indie-Massively Multiplayer,"3 May, 2018"
439420,SteelLIFE,False,4.99,0,AxiPLAY,AxiPLAY,Adventure-Casual-Indie,"4 Jan, 2019"
439440,Of Carrots And Blood,False,2.99,0,Trite Games,Trite Games,Action-Casual-Indie,"25 Mar, 2016"
439460,Ships 2017,False,14.99,0,FragOut,FragOut,Indie-Simulation,"19 Oct, 2016"
439490,BLUE REVOLVER,False,14.99,0,Stellar Circle,Stellar Circle,Action-Indie,"11 Oct, 2016"
439530,Rock-N-Rogue: A Boo Bunny Plague Adventure,False,2.99,0,On the Level Game Studios,On the Level Game Studios,Action-Adventure-Indie,"19 Jan, 2017"
439550,'n Verlore Verstand,False,2.99,0,Skobbejak Games,Skobbejak Games,Adventure-Casual-Indie,"5 Apr, 2016"
439700,Z1 Battle Royale: Test Server,False,0.0,0,NantG,Daybreak Game Company,Massively Multiplayer,"24 Feb, 2016"
439720,Unending Galaxy,False,7.49,0,Anarkis Gaming,Anarkis Gaming,Indie-Simulation-Strategy,"19 Feb, 2016"
439730,XO-Planets,False,7.99,0,Bohfam,Bohfam,Action-Indie-RPG-Early Access,"21 Apr, 2016"
439740,Eclipsed,False,5.99,0,Christ Laurenz Sambrano,Christ Laurenz Sambrano,Adventure-Casual-Indie-Early Access,"17 Feb, 2016"
439750,The Lost Heir 2: Forging a Kingdom,False,3.29,0,Hosted Games,Hosted Games,Indie-RPG,"29 Jan, 2016"
439770,The Lost Heir: The Fall of Daria,False,3.29,0,Hosted Games,Hosted Games,Indie-RPG,"29 Jan, 2016"
439800,Clouds & Sheep 2,False,9.99,0,HandyGames,HandyGames,Casual-Simulation,"24 Oct, 2016"
439880,Heroes of Loot 2,False,9.99,0,Orangepixel,Orangepixel,Adventure,"7 Jun, 2016"
439910,Risky Rescue,False,0.99,0,Digital Melody,Forever Entertainment S. A.,Action-Casual-Indie,"19 Feb, 2016"
439920,Royal Heroes,False,4.99,0,Badim,Badim,Casual-Indie-RPG-Strategy,"16 Mar, 2016"
439930,Control Craft 2,False,2.99,0,Badim,Badim,Action-Casual-Indie-Strategy,"15 Feb, 2016"
439940,Lucid9: Inciting Incident,True,0.0,0,Fallen Snow Studios,Sekai Project,Casual-Free to Play-Simulation,"14 Apr, 2016"
439950,Frontier,False,12.99,0,Lacuna Corporation,Lacuna Corporation,Action-Adventure-Indie-RPG-Early Access,"4 Mar, 2016"
439960,Falling Stars: War of Empires,False,19.99,0,Riveted Games,Lock 'n Load Publishing,Indie-Simulation-Strategy,"27 Apr, 2016"
440020,bit Dungeon+,False,0.0,0,Dolores Entertainment,Dolores Entertainment,Indie-RPG,"22 Mar, 2016"
440100,Fall of Gyes,False,4.99,0,Black Cloud Studios,Black Cloud Studios,Adventure-Casual-Indie,"18 Mar, 2016"
440120,Vreal,True,0.0,0,VREAL INC,VREAL INC,Action-Adventure-Casual-Free to Play-Early Access,"27 Jun, 2018"
440280,Overpower,False,8.99,0,Hydrant Games,Hydrant Games,Action-Indie-RPG-Early Access,"20 Apr, 2016"
440310,Project Arrhythmia,False,0.0,0,Lime Studios,Lime Studios,Action-Adventure-Indie,Early 2019
440340,Banzai Escape,False,5.99,0,XenoAisam,Xenoaisam Studio,Action,"29 Feb, 2016"
440380,Super Kitty Boing Boing,False,5.99,0,Pixelated Panties,Pixelated Panties,Action-Indie,"3 Mar, 2016"
440410,Wolfsong,False,9.99,0,Hyptosis,Lorestrome,Adventure-Casual-Indie-RPG,"1 Feb, 2016"
440420,True Fear: Forsaken Souls,False,8.99,0,Goblinz,The Digital Lounge,Adventure-Casual,"19 Oct, 2016"
440450,Escape: Sierra Leone,False,9.99,0,Reborn Games Inc.,Reborn Games Inc.,Adventure-Simulation-Early Access,"5 Dec, 2016"
440470,Absence,False,5.99,0,Samuel Sprague,Samuel Sprague,Action-Adventure,"11 Feb, 2016"
440520,VirtualHere For Steam Link,False,11.59,0,VirtualHere Pty. Ltd.,VirtualHere Pty. Ltd.,Utilities,"7 Jun, 2016"
440540,Ara Fell,False,9.99,0,Stegosoft Games,Stegosoft Games,Action-Adventure-Casual-Indie-RPG,"2 Jun, 2016"
440550,Atomik: RunGunJumpGun,False,7.99,0,ThirtyThree,Good Shepherd Entertainment,Action-Indie,"31 Aug, 2016"
